Sample_idx,sample_time,realX,realY,linEstX,linEstY,hypEstX,hypEstY,filtEstX,filtEstY
0,0.0,0.1524,1.3716,-0.607,-1.0088,1.309,0.5456,0.3781,1.3973
1,0.3066,0.1524,1.3716,1.1264,2.7392,-0.7863,0.9601,-0.0974,1.1103
2,0.6278,0.4572,1.3716,2.4675,2.9607,0.2199,0.9779,0.0891,0.9534
3,0.9335,0.762,1.3716,5.2918,5.0586,1.0095,1.5043,0.7839,1.2911
4,1.2726,1.0668,1.3716,-0.039,1.2169,0.2485,1.445,0.5344,1.3425
5,1.5768,1.3716,1.3716,-1.1373,-1.2335,1.9213,1.1178,1.2197,1.7537
6,1.8827,1.6764,1.3716,5.3418,3.4848,1.9855,0.6071,1.6867,1.1163
7,2.1749,2.286,1.3716,4.9547,3.9648,1.9098,1.5339,1.9462,1.1329
8,2.4505,2.286,1.3716,-1.3125,-2.0341,2.1324,0.7002,1.9973,1.1651
9,2.7572,2.5908,1.3716,1.8807,-0.4016,3.1577,0.6528,2.7191,1.2062
10,3.0328,2.8956,1.3716,2.8453,1.1561,3.2584,1.4746,3.1225,1.4065
11,3.339,3.2004,1.6764,5.3545,4.0416,2.9395,2.3023,3.1657,1.6718
12,3.6129,3.5052,1.6764,2.0573,-1.1505,4.1689,0.6367,3.7326,1.5015
13,3.9237,3.81,1.6764,-5.1874,-3.8308,3.4741,1.9992,3.6227,2.0227
14,4.1977,3.81,1.6764,-1.0197,-3.8131,3.9035,0.3464,3.6449,1.5881
15,4.4738,4.1148,1.6764,4.255,2.1394,3.2254,1.3185,3.3302,1.3513
16,4.8082,4.4196,1.9812,4.0494,1.4203,4.3275,1.6363,4.0415,1.6066
17,5.0843,4.7244,1.9812,6.0099,3.0679,4.9356,2.2744,4.7337,1.9474
18,5.3908,5.0292,1.9812,7.599,2.4858,5.7732,0.7931,5.3443,1.4869
19,5.6989,5.0292,1.9812,6.3522,2.6338,5.0562,1.5743,5.1557,1.4244
20,6.122,5.6388,2.286,2.3808,-0.1743,5.9379,2.3939,5.8165,2.0436
21,6.4392,5.9436,2.5908,4.524,2.505,5.8804,3.341,6.031,2.7199
22,6.7797,5.9436,2.5908,6.0963,3.5373,5.7963,3.3495,5.9584,2.9874
23,7.09,6.2484,2.5908,7.8822,4.9593,5.5653,3.5269,5.7879,3.085
