Sample_idx,sample_time,realX,realY,linEstX,linEstY,hypEstX,hypEstY,filtEstX,filtEstY
0,0.0,0.1524,1.3716,-0.0089,1.2263,0.0997,1.3148,0.0782,1.3273
1,0.3088,0.1524,1.3716,-0.0089,1.2263,0.0997,1.3148,0.0826,1.3258
2,0.5861,0.1524,1.3716,-0.0089,1.2263,0.0997,1.3148,0.0854,1.3248
3,0.9503,0.762,1.3716,0.7397,1.376,0.777,1.4054,0.4161,1.5178
4,1.2632,1.0668,1.3716,1.1217,1.4556,1.0091,1.3669,0.7243,1.5364
5,1.5917,1.0668,1.3716,1.1217,1.4556,1.0091,1.3669,0.8592,1.4815
6,1.8998,1.3716,1.3716,1.4704,1.5257,1.3482,1.4307,1.1392,1.5361
7,2.2078,1.6764,1.3716,1.8111,1.5945,1.6754,1.4901,1.4617,1.5974
8,2.4839,1.9812,1.3716,2.1833,1.6754,1.8744,1.4362,1.6998,1.5646
9,2.7611,1.9812,1.3716,2.1833,1.6754,1.8744,1.4362,1.7932,1.5083
10,3.0356,2.286,1.3716,2.5135,1.7434,2.1884,1.4933,2.0457,1.5438
11,3.3166,2.5908,1.3716,2.8352,1.8097,2.4983,1.552,2.3423,1.5958
12,3.5949,2.5908,1.3716,2.8352,1.8097,2.4983,1.552,2.4398,1.5767
13,3.8742,2.8956,1.3716,3.5555,1.9746,2.867,1.4373,2.7064,1.5314
14,4.1497,3.2004,1.6764,3.4524,1.9367,3.1095,1.6766,2.9962,1.632
15,4.4893,3.5052,1.6764,3.7471,1.9968,3.4118,1.7434,3.2881,1.7205
16,4.8097,3.81,1.6764,4.0319,2.0544,3.7123,1.8136,3.5835,1.8015
17,5.148,4.1148,1.6764,4.7387,2.2269,4.0673,1.7079,3.8979,1.7827
18,5.4232,4.1148,1.6764,4.7387,2.2269,4.0673,1.7079,4.0049,1.7309
19,5.7082,4.4196,1.6764,5.0111,2.2839,4.364,1.7846,4.2555,1.762
20,6.0187,4.7244,1.9812,4.8217,2.2073,4.6051,2.0456,4.5278,1.9201
21,6.3258,4.7244,1.9812,4.8217,2.2073,4.6051,2.0456,4.5963,1.9757
22,6.6532,5.0292,1.9812,5.5241,2.3877,4.9542,1.9495,4.8349,1.9774
23,6.932,5.0292,2.286,4.9247,2.194,5.0196,2.2633,4.9952,2.1338
24,7.269,5.6388,2.286,5.3243,2.2449,5.6054,2.4489,5.4411,2.3635
25,7.5761,5.6388,2.286,5.3243,2.2449,5.6054,2.4489,5.5603,2.4357
26,7.8513,5.6388,2.5908,6.3599,3.1084,5.6421,2.5923,5.637,2.4822
27,8.1572,5.9436,2.5908,6.5584,3.1376,5.934,2.6907,5.863,2.5832
28,8.4354,5.9436,2.5908,6.5584,3.1376,5.934,2.6907,5.9258,2.6113
29,8.7494,6.2484,2.8956,6.2079,2.996,6.1692,2.9695,6.1324,2.8034
30,9.0644,6.5532,2.8956,6.9019,3.1739,6.5146,2.8991,6.3998,2.8754
31,9.3716,6.858,3.2004,6.8011,3.0733,6.9199,3.1551,6.7799,3.0657
32,9.68,6.858,3.2004,6.8011,3.0733,6.9199,3.1551,6.8834,3.1273
33,9.9568,6.858,3.5052,7.3637,3.771,6.902,3.4714,6.9387,3.2712
34,10.2799,7.1628,3.5052,7.4514,3.7557,7.1902,3.5877,7.1437,3.4375
35,10.556,7.4676,3.5052,6.9053,2.9922,7.4934,3.3917,7.3695,3.4767
36,10.9365,7.4676,3.81,7.5007,3.7229,7.4773,3.708,7.4682,3.5947
37,11.2761,7.4676,4.1148,6.2698,3.2899,7.5363,4.0281,7.5606,3.842
38,11.553,7.7724,4.1148,7.0556,3.4823,7.8782,3.9832,7.784,3.9682
39,11.844,7.7724,4.4196,8.739,5.0039,7.7251,4.4551,7.8064,4.1588
40,12.128,8.0772,4.4196,8.736,4.9678,8.0122,4.5839,7.9935,4.3609
41,12.4361,8.0772,4.7244,8.332,4.8389,8.1266,4.7348,8.1244,4.5474
42,12.743,8.0772,4.7244,8.332,4.8389,8.1266,4.7348,8.1478,4.6313
43,13.0485,8.0772,5.0292,9.0592,5.4807,8.1052,5.0422,8.171,4.7973
44,13.4095,8.382,5.334,8.9255,5.4148,8.3921,5.1775,8.3605,4.9901
45,13.7208,8.382,5.334,8.9255,5.4148,8.3921,5.1775,8.4042,5.0701
46,14.0018,8.382,5.6388,6.9262,4.9137,8.4487,5.4948,8.4764,5.3055
47,14.2842,8.6868,5.6388,5.6948,4.5328,8.7348,5.6365,8.6739,5.533
48,14.6155,8.6868,5.9436,10.4071,6.5086,8.6339,5.9293,8.6994,5.6815
49,14.8916,8.6868,6.2484,8.6318,6.2307,8.69,6.2459,8.7553,5.956
50,15.1669,8.6868,6.5532,-0.2,4.8415,8.7474,6.5563,8.806,6.293
51,15.4744,8.6868,6.5532,-0.2,4.8415,8.7474,6.5563,8.7859,6.4606
52,15.7831,8.6868,6.858,11.5688,7.3113,8.6379,6.8539,8.744,6.5974
53,16.068,8.6868,7.1628,8.6229,7.1569,8.695,7.1632,8.7731,6.8737
54,16.3467,8.6868,7.1628,8.6229,7.1569,8.695,7.1632,8.7535,7.0102
55,16.6522,8.6868,7.4676,17.4444,7.62,8.7539,7.4666,8.7886,7.2847
56,16.9295,8.6868,7.7724,17.4455,7.62,8.6352,7.7727,8.7563,7.4669
57,17.2128,8.6868,7.7724,17.4455,7.62,8.6352,7.7727,8.7257,7.561
58,17.5194,8.6868,8.0772,8.6229,8.0831,8.694,8.0768,8.759,7.8162
59,17.8477,8.6868,8.382,11.5688,7.9287,8.7552,8.375,8.7974,8.1464
60,18.1234,8.6868,8.6868,-0.2,10.3985,8.6266,8.6936,8.763,8.3539
61,18.4516,8.6868,8.9916,8.6318,9.0093,8.6877,8.9944,8.78,8.6682
62,18.8049,8.6868,9.2964,10.4071,8.7314,8.7517,9.289,8.8036,9.0317
63,19.0831,8.6868,9.2964,10.4071,8.7314,8.7517,9.289,8.7755,9.2109
64,19.4282,8.382,9.6012,6.9262,10.3263,8.3682,9.7612,8.5904,9.4159
65,19.7396,8.382,9.906,8.9255,9.8252,8.4342,10.052,8.5458,9.7456
66,20.0708,8.382,9.906,8.9255,9.8252,8.4342,10.052,8.4967,9.9117
67,20.3543,8.382,10.2108,6.9714,10.8351,8.2639,10.2247,8.401,10.0053
68,20.6663,8.0772,10.5156,8.332,10.4011,8.1454,10.4996,8.2855,10.2449
69,20.9768,8.0772,10.5156,8.332,10.4011,8.1454,10.4996,8.2184,10.3723
70,21.2739,7.7724,10.5156,7.6452,10.5351,7.7696,10.4726,7.9558,10.3791
71,21.6167,7.4676,10.8204,8.1208,10.3564,7.4639,10.7117,7.6672,10.5581
72,21.945,7.4676,11.1252,6.2698,11.9501,7.4045,11.2598,7.603,10.8308
73,22.2751,7.4676,11.43,7.5007,11.5171,7.4804,11.5307,7.5893,11.1823
74,22.5871,7.4676,11.43,7.5007,11.5171,7.4804,11.5307,7.5526,11.3537
75,22.9213,7.1628,11.7348,7.4514,11.4843,7.2276,11.6358,7.3712,11.4949
76,23.2154,6.858,11.7348,7.3637,11.469,6.9743,11.735,7.134,11.631
77,23.505,6.858,12.0396,6.8011,12.1667,6.9011,12.0941,7.0387,11.843
78,23.8009,6.5532,12.0396,6.0719,12.3561,6.4962,12.0611,6.7582,11.8714
79,24.077,6.5532,12.0396,6.0719,12.3561,6.4962,12.0611,6.6419,11.9054
80,24.3765,6.5532,12.3444,6.9019,12.0661,6.5869,12.302,6.6189,12.1514
81,24.6526,6.2484,12.3444,6.2079,12.244,6.1765,12.2666,6.3653,12.1848
82,24.9822,6.2484,12.3444,6.2079,12.244,6.1765,12.2666,6.2584,12.2187
83,25.2809,5.9436,12.3444,6.0522,12.2533,5.9133,12.3533,6.0556,12.2876
84,25.574,5.9436,12.6492,6.5584,12.1024,6.0696,12.4699,6.0336,12.4675
85,25.8523,5.6388,12.6492,6.3599,12.1316,5.8098,12.5455,5.8539,12.5958
86,26.1534,5.6388,12.954,5.3243,12.9951,5.5427,12.8294,5.7112,12.6611
87,26.4298,5.334,12.954,5.1333,13.0168,5.2697,12.9133,5.489,12.7415
88,26.7261,5.334,12.954,5.1333,13.0168,5.2697,12.9133,5.3893,12.7928
