Sample_idx,sample_time,realX,realY,linEstX,linEstY,hypEstX,hypEstY,filtEstX,filtEstY
0,0.0,0.1524,1.3716,1.3297,2.1436,0.2917,1.2855,0.2665,1.2082
1,0.2771,0.4572,1.3716,2.9347,4.2238,-0.0191,1.9309,0.3164,1.523
2,0.554,0.4572,1.3716,0.7947,1.3936,0.3932,1.0567,0.3001,1.2116
3,0.829,0.762,1.3716,1.1447,1.4631,0.8862,1.2558,0.6109,1.3478
4,1.1042,0.762,1.3716,0.7831,1.39,0.5223,1.176,0.5356,1.2192
5,1.4129,1.0668,1.3716,2.0212,2.2723,1.2763,1.7062,1.0202,1.6157
6,1.6879,1.3716,1.3716,2.0376,2.2772,1.1541,1.5937,1.1112,1.5751
7,1.9643,1.3716,1.3716,-0.4088,0.4327,1.01,1.5097,1.019,1.5956
8,2.2737,1.6764,1.3716,1.6936,0.9295,1.7974,1.0127,1.4142,1.4656
9,2.5793,1.9812,1.3716,0.9755,0.0623,2.1972,1.0275,1.8542,1.4654
10,2.91,2.286,1.3716,-0.0633,-0.2306,2.0672,1.38,1.9591,1.57
11,3.2351,2.8956,1.3716,2.999,1.2182,3.0137,1.2298,2.6053,1.5904
12,3.5721,3.2004,1.3716,4.5133,2.1893,3.6475,1.5091,3.3058,1.6337
13,3.8499,3.5052,1.6764,4.3193,2.7248,3.2599,1.9375,3.3273,1.7063
14,4.1926,3.81,1.6764,5.7519,3.5785,3.8959,2.2197,3.7857,1.9096
15,4.5172,4.1148,1.6764,5.7519,3.5785,3.8959,2.2197,3.9137,1.9581
16,4.9421,4.7244,1.9812,6.903,3.8147,4.8512,2.2829,4.5905,2.1015
17,5.2719,5.0292,1.9812,7.2298,3.8913,4.9073,2.1012,4.8157,1.9966
18,5.57,5.334,2.286,4.1978,1.3547,5.1568,2.0725,5.0527,2.115
19,5.9075,5.6388,2.5908,6.4767,3.1545,5.5236,2.4553,5.4139,2.275
20,6.2039,5.9436,2.5908,3.9401,1.0859,5.9767,2.5415,5.8191,2.5413
21,6.4939,6.2484,2.8956,3.5328,0.806,6.3832,2.7883,6.2192,2.8198
22,6.8352,6.2484,2.8956,5.3792,2.1402,6.3044,2.7917,6.2696,2.8547
23,7.1419,6.5532,2.8956,5.7646,2.2466,6.476,2.7568,6.3937,2.8634
24,7.4183,6.858,3.2004,7.5687,3.3517,6.8577,2.8279,6.7027,2.8693
25,7.7559,7.1628,3.5052,8.6284,5.0622,6.7413,3.9502,6.875,3.298
26,8.0332,7.1628,3.5052,4.9675,1.7162,7.2833,3.2778,7.1376,3.4092
27,8.3101,7.1628,3.5052,8.6053,5.0268,7.1477,4.2094,7.2489,3.7341
28,8.6442,7.4676,4.1148,7.0929,4.1398,7.228,4.2141,7.2917,3.9672
29,9.0338,7.7724,4.1148,7.0556,3.4823,7.8782,3.9832,7.6776,4.067
30,9.311,7.7724,4.4196,9.0283,4.6142,7.9735,3.9451,7.8651,4.0054
31,9.5895,7.7724,4.7244,7.0244,4.5167,7.8968,4.9185,7.9931,4.4611
32,9.8912,8.0772,4.7244,8.4197,4.9046,7.8399,4.6039,7.9115,4.4948
33,10.1844,8.0772,5.0292,8.7555,5.4292,7.932,5.0592,7.994,4.7468
34,10.5127,8.382,5.0292,9.9356,5.6654,8.3359,4.8538,8.2384,4.7849
35,10.8346,8.6868,5.334,9.7148,6.0162,8.3698,5.4837,8.4103,5.0988
36,11.1115,8.6868,5.6388,-1.0316,3.9826,8.7363,6.1058,8.7176,5.7252
37,11.419,8.6868,5.6388,8.1295,5.1166,8.9628,5.4599,8.8472,5.6397
