Sample_idx,timestamp_ms,adjusted_game_time,player_id,realX,realY,linEstX,linEstY,hypEstX,hypEstY,filtEstX,filtEstY,linErr,hypErr,filtErr,linRMSE,hypRMSE,filtRMSE
0,0.0,2880.0,201939,23.1208,7.5932,18.6418,7.62,23.6749,7.4407,23.3892,7.391,4.479,0.5747,0.336,8.9242,0.7797,0.4652
1,0.119,2880.0,201939,23.0765,7.5943,10.3316,7.62,23.3613,8.5774,23.4777,7.6531,12.7449,1.0235,0.4055,8.9242,0.7797,0.4652
2,0.24,2880.0,201939,23.0287,7.5971,15.4542,7.8027,22.5317,7.8011,22.9258,7.5078,7.5773,0.5373,0.1362,8.9242,0.7797,0.4652
3,0.36,2880.0,201939,22.9802,7.5983,18.1615,7.62,23.086,7.434,23.0469,7.3757,4.8188,0.1954,0.2324,8.9242,0.7797,0.4652
4,0.479,2880.0,201939,22.9259,7.6022,0.3008,8.0,23.1401,7.2385,23.0863,7.375,22.6286,0.4221,0.2781,8.9242,0.7797,0.4652
5,0.6,2880.0,201939,22.8665,7.614,6.8016,7.1868,23.0624,8.6308,23.1703,7.7111,16.0706,1.0355,0.3189,8.9242,0.7797,0.4652
6,0.72,2880.0,201939,22.8049,7.6317,16.0538,7.4122,22.4894,7.4972,22.7118,7.7748,6.7547,0.3429,0.1707,8.9242,0.7797,0.4652
7,0.839,2880.0,201939,22.7305,7.6414,10.4084,7.62,23.0958,6.9789,22.877,7.6155,12.3221,0.7565,0.1488,8.9242,0.7797,0.4652
8,0.96,2880.0,201939,22.639,7.6392,0.0,7.62,22.5786,7.62,22.6902,7.6012,22.639,0.0634,0.0637,8.9242,0.7797,0.4652
9,1.08,2880.0,201939,22.5371,7.6282,15.4061,7.4412,22.2267,7.4399,22.3686,7.6581,7.1334,0.363,0.1712,8.9242,0.7797,0.4652
10,1.199,2880.0,201939,22.4244,7.6118,13.0035,7.2453,21.9096,6.2092,21.9233,7.4616,9.428,1.4941,0.5231,8.9242,0.7797,0.4652
