Sample_idx,timestamp_ms,adjusted_game_time,player_id,realX,realY,linEstX,linEstY,hypEstX,hypEstY,filtEstX,filtEstY,linErr,hypErr,filtErr,linRMSE,hypRMSE,filtRMSE
0,0.0,2880.0,201939,23.1208,7.5932,0.0,7.62,23.1575,7.62,23.1765,7.5851,23.1208,0.0455,0.0563,3.9761,0.1448,0.3339
1,0.119,2880.0,201939,23.0765,7.5943,18.169,7.62,23.0714,7.558,23.1164,7.5307,4.9076,0.0366,0.0751,3.9761,0.1448,0.3339
2,0.24,2880.0,201939,23.0287,7.5971,0.0,7.62,22.963,7.62,23.0257,7.5634,23.0287,0.0695,0.0338,3.9761,0.1448,0.3339
3,0.36,2880.0,201939,22.9802,7.5983,0.0,7.62,22.963,7.62,22.9898,7.586,22.9802,0.0277,0.0156,3.9761,0.1448,0.3339
4,0.479,2880.0,201939,22.9259,7.6022,0.0,7.62,22.963,7.62,22.975,7.6001,22.9259,0.0412,0.0491,3.9761,0.1448,0.3339
5,0.6,2880.0,201939,22.8665,7.614,0.0,7.62,22.7701,7.62,22.848,7.598,22.8665,0.0966,0.0245,3.9761,0.1448,0.3339
6,0.72,2880.0,201939,22.8049,7.6317,0.0,7.62,22.7701,7.62,22.8005,7.6037,22.8049,0.0367,0.0283,3.9761,0.1448,0.3339
7,0.839,2880.0,201939,22.7305,7.6414,0.0,7.62,22.7701,7.62,22.7824,7.6095,22.7305,0.045,0.0609,3.9761,0.1448,0.3339
8,0.96,2880.0,201939,22.639,7.6392,0.0,7.62,22.7701,7.62,22.7753,7.6136,22.639,0.1325,0.1387,3.9761,0.1448,0.3339
9,1.08,2880.0,201939,22.5371,7.6282,0.0,7.62,22.3885,7.62,22.5321,7.595,22.5371,0.1489,0.0336,3.9761,0.1448,0.3339
10,1.199,2880.0,201939,22.4244,7.6118,0.0,7.62,22.3885,7.62,22.4429,7.5982,22.4244,0.0369,0.023,3.9761,0.1448,0.3339
11,1.32,2880.0,201939,22.299,7.594,0.0,7.62,22.3885,7.62,22.4098,7.605,22.299,0.0932,0.1114,3.9761,0.1448,0.3339
12,1.44,2880.0,201939,22.1726,7.5857,0.0,7.62,22.1996,7.62,22.2778,7.5998,22.1726,0.0437,0.1062,3.9761,0.1448,0.3339
13,1.559,2880.0,201939,22.0495,7.5903,0.0,7.62,22.0119,7.62,22.1103,7.5936,22.0495,0.0479,0.0609,3.9761,0.1448,0.3339
14,1.68,2880.0,201939,21.9292,7.606,0.0,7.62,21.8254,7.62,21.9306,7.5889,21.9292,0.1047,0.0172,3.9761,0.1448,0.3339
15,1.8,2880.0,201939,21.8105,7.6258,0.0,7.62,21.8254,7.62,21.8655,7.5966,21.8105,0.016,0.0622,3.9761,0.1448,0.3339
16,1.919,2880.0,201939,21.7005,7.654,0.0,7.62,21.8254,7.62,21.8414,7.6047,21.7005,0.1294,0.1492,3.9761,0.1448,0.3339
17,2.04,2880.0,201939,21.5938,7.6828,0.0,7.62,21.4555,7.62,21.5956,7.5888,21.5939,0.1519,0.0941,3.9761,0.1448,0.3339
18,2.16,2880.0,201939,21.4874,7.7122,0.0,7.62,21.4555,7.62,21.5078,7.5942,21.4876,0.0976,0.1197,3.9761,0.1448,0.3339
19,2.279,2880.0,201939,21.3789,7.733,0.0,7.62,21.4555,7.62,21.4759,7.6025,21.3792,0.1365,0.1626,3.9761,0.1448,0.3339
20,2.4,2880.0,201939,21.2708,7.7505,-0.3313,7.0489,21.2898,7.9856,21.3852,7.7231,21.6135,0.2359,0.1177,3.9761,0.1448,0.3339
21,2.52,2880.0,201939,21.1632,7.762,16.7709,7.62,21.165,7.6899,21.2374,7.7275,4.3946,0.0721,0.0818,3.9761,0.1448,0.3339
22,2.639,2880.0,201939,21.0555,7.7733,0.0,7.62,21.0893,7.62,21.1356,7.6714,21.0561,0.157,0.1296,3.9761,0.1448,0.3339
23,2.76,2880.0,201939,20.9539,7.7931,-0.3466,7.006,20.9245,7.9828,21.0239,7.7612,21.3151,0.192,0.0769,3.9761,0.1448,0.3339
24,2.88,2880.0,201939,20.862,7.8288,16.5303,7.62,20.801,7.6916,20.8715,7.7485,4.3367,0.1502,0.0809,3.9761,0.1448,0.3339
25,2.999,2880.0,201939,20.7769,7.8815,16.5303,7.62,20.801,7.6916,20.8181,7.7504,4.2546,0.1915,0.1375,3.9761,0.1448,0.3339
26,3.12,2879.95,201939,20.6936,7.9519,20.5893,8.0502,20.6365,8.0535,20.7201,7.8709,0.1433,0.1165,0.0852,3.9761,0.1448,0.3339
27,3.24,2879.83,201939,20.6177,8.0389,20.5893,8.0502,20.6365,8.0535,20.6777,7.9452,0.0305,0.0238,0.1113,3.9761,0.1448,0.3339
28,3.359,2879.71,201939,20.5377,8.1261,20.5893,8.0502,20.6365,8.0535,20.658,7.99,0.0918,0.1226,0.1817,3.9761,0.1448,0.3339
29,3.479,2879.59,201939,20.4552,8.2096,24.2009,8.8754,20.4746,8.4129,20.5691,8.1338,3.8044,0.2042,0.1368,3.9761,0.1448,0.3339
30,3.6,2879.47,201939,20.3695,8.2879,18.1628,7.9294,20.3476,8.1265,20.4228,8.1487,2.2356,0.1628,0.1491,3.9761,0.1448,0.3339
31,3.719,2879.35,201939,20.2748,8.3491,23.6522,8.84,20.2942,8.4111,20.3587,8.2289,3.4129,0.065,0.1466,3.9761,0.1448,0.3339
32,3.839,2879.23,201939,20.172,8.3909,19.757,8.4216,20.1855,8.4853,20.2631,8.334,0.4161,0.0953,0.1074,3.9761,0.1448,0.3339
33,3.96,2879.11,201939,20.0726,8.425,23.1193,8.8047,20.1145,8.4094,20.1736,8.3349,3.0702,0.0447,0.1353,3.9761,0.1448,0.3339
34,4.079,2878.99,201939,19.9721,8.4509,22.602,8.7693,19.9353,8.4076,20.0255,8.3311,2.6491,0.0568,0.1312,3.9761,0.1448,0.3339
35,4.2,2878.87,201939,19.8637,8.4958,19.1363,8.3744,19.8267,8.4836,19.9062,8.3931,0.7375,0.039,0.1111,3.9761,0.1448,0.3339
36,4.32,2878.75,201939,19.7719,8.5414,19.1363,8.3744,19.8267,8.4836,19.8602,8.4364,0.6572,0.0796,0.1372,3.9761,0.1448,0.3339
37,4.439,2878.63,201939,19.6902,8.5818,25.2103,9.8479,19.7755,8.7612,19.8286,8.5302,5.6635,0.1986,0.1477,3.9761,0.1448,0.3339
38,4.559,2878.51,201939,19.6095,8.6026,17.7198,8.2192,19.5376,8.5601,19.6408,8.5638,1.9282,0.0835,0.0499,3.9761,0.1448,0.3339
39,4.679,2878.39,201939,19.4786,8.5411,18.5532,8.3273,19.4701,8.482,19.5238,8.5309,0.9498,0.0597,0.0464,3.9761,0.1448,0.3339
