Sample_idx,timestamp_ms,adjusted_game_time,player_id,realX,realY,linEstX,linEstY,hypEstX,hypEstY,filtEstX,filtEstY,linErr,hypErr,filtErr,linRMSE,hypRMSE,filtRMSE
37,4.439,2878.63,201939,19.6902,8.5818,17.0792,7.8754,19.8786,8.2032,19.7374,8.3456,2.7049,0.4229,0.2409,10.2634,0.7271,0.3989
38,4.559,2878.51,201939,19.6095,8.6026,15.8256,7.62,19.5751,7.9271,19.5974,8.2663,3.9094,0.6763,0.3366,10.2634,0.7271,0.3989
39,4.679,2878.39,201939,19.4786,8.5411,9.2093,6.842,20.1142,8.89,19.9845,8.4225,10.4089,0.725,0.5196,10.2634,0.7271,0.3989
40,4.8,2878.26,201939,19.4,8.4446,6.0304,5.675,19.1195,8.9355,19.4645,8.4843,13.6535,0.5654,0.0758,10.2634,0.7271,0.3989
41,4.92,2878.14,201939,19.3514,8.3308,18.0758,8.5792,19.6215,8.993,19.6008,8.7548,1.2995,0.7151,0.4919,10.2634,0.7271,0.3989
42,5.041,2878.02,201939,19.3409,8.2033,14.3256,7.8027,19.7389,8.0129,19.665,8.3028,5.0313,0.4412,0.339,10.2634,0.7271,0.3989
43,5.16,2877.9,201939,19.3854,8.1218,-1.0188,3.6581,19.013,9.0159,19.293,8.4923,20.8868,0.9685,0.3818,10.2634,0.7271,0.3989
44,5.28,2877.78,201939,19.4557,8.0727,18.5532,8.3273,19.4701,8.482,19.4068,8.5128,0.9378,0.4096,0.4428,10.2634,0.7271,0.3989
45,5.401,2877.66,201939,19.5993,7.8961,24.53,9.7771,19.5969,8.7582,19.5476,8.5958,5.2774,0.8621,0.7016,10.2634,0.7271,0.3989
46,5.52,2877.54,201939,19.8179,7.6985,15.9293,7.62,19.796,7.7724,19.649,8.313,3.8894,0.0771,0.6373,10.2634,0.7271,0.3989
47,5.64,2877.42,201939,20.0921,7.5381,16.0847,7.62,20.082,7.695,19.886,8.1018,4.0083,0.1572,0.6002,10.2634,0.7271,0.3989
48,5.761,2877.3,201939,20.3982,7.3835,16.4658,7.62,20.7704,7.3313,20.4368,7.7056,3.9395,0.3759,0.3244,10.2634,0.7271,0.3989
49,5.88,2877.18,201939,20.8091,7.3298,12.2377,7.62,20.6068,7.331,20.5131,7.6119,8.5763,0.2023,0.4088,10.2634,0.7271,0.3989
50,6.0,2877.06,201939,21.1949,7.4472,14.7883,7.8923,21.0837,7.9871,20.9517,7.598,6.422,0.5512,0.2862,10.2634,0.7271,0.3989
51,6.12,2876.94,201939,21.5491,7.6544,11.7549,7.62,21.3336,7.3221,21.168,7.5669,9.7943,0.3961,0.391,10.2634,0.7271,0.3989
52,6.24,2876.82,201939,21.7188,7.6335,14.3256,7.8734,21.9035,8.0872,21.7069,7.6347,7.3971,0.4899,0.012,10.2634,0.7271,0.3989
53,6.36,2876.7,201939,21.8222,7.3519,35.0856,4.5434,21.8971,6.4364,21.7336,7.2009,13.5575,0.9186,0.1751,10.2634,0.7271,0.3989
