Sample_idx,timestamp_ms,adjusted_game_time,player_id,realX,realY,linEstX,linEstY,hypEstX,hypEstY,filtEstX,filtEstY,linErr,hypErr,filtErr,linRMSE,hypRMSE,filtRMSE
0,0.0,2880.0,201939,23.1208,7.5932,22.0709,4.9274,22.347,5.9349,22.6353,6.9507,2.8651,1.83,0.8053,1.1516,0.6699,0.4162
1,0.119,2880.0,201939,23.0765,7.5943,22.2417,5.8091,22.6046,6.5667,22.5384,7.0413,1.9708,1.1308,0.7716,1.1516,0.6699,0.4162
2,0.24,2880.0,201939,23.0287,7.5971,22.8913,8.09,23.2405,7.7951,23.0336,7.374,0.5117,0.2899,0.2231,1.1516,0.6699,0.4162
3,0.36,2880.0,201939,22.9802,7.5983,22.3164,5.3562,22.7185,6.3297,22.7357,7.1441,2.3383,1.2953,0.5158,1.1516,0.6699,0.4162
4,0.479,2880.0,201939,22.9259,7.6022,23.1568,9.0616,23.3867,8.2341,23.2674,7.4693,1.4775,0.7821,0.3664,1.1516,0.6699,0.4162
5,0.6,2880.0,201939,22.8665,7.614,22.3352,6.2514,22.619,6.9254,22.7985,7.3761,1.4625,0.7317,0.2474,1.1516,0.6699,0.4162
6,0.72,2880.0,201939,22.8049,7.6317,22.8706,7.62,22.8158,7.7451,22.8257,7.6421,0.0667,0.114,0.0233,1.1516,0.6699,0.4162
7,0.839,2880.0,201939,22.7305,7.6414,22.3975,7.62,23.1965,7.7288,23.0573,7.7313,0.3337,0.4741,0.3389,1.1516,0.6699,0.4162
8,0.96,2880.0,201939,22.639,7.6392,22.6482,8.5512,23.087,7.976,23.1342,7.6525,0.9121,0.5604,0.4953,1.1516,0.6699,0.4162
9,1.08,2880.0,201939,22.5371,7.6282,22.6927,7.62,22.1689,7.4516,22.5387,7.4346,0.1559,0.4084,0.1936,1.1516,0.6699,0.4162
10,1.199,2880.0,201939,22.4244,7.6118,22.4052,8.0821,22.6464,7.8218,22.6422,7.5748,0.4707,0.3056,0.2209,1.1516,0.6699,0.4162
11,1.32,2880.0,201939,22.299,7.594,21.9751,8.0703,22.3517,7.9479,22.4849,7.7284,0.576,0.3578,0.2294,1.1516,0.6699,0.4162
12,1.44,2880.0,201939,22.1726,7.5857,22.3236,9.0149,22.7149,7.9185,22.7482,7.4989,1.4371,0.6363,0.5821,1.1516,0.6699,0.4162
13,1.559,2880.0,201939,22.0495,7.5903,22.1361,7.62,21.9442,7.7952,22.2501,7.6756,0.0915,0.2304,0.218,1.1516,0.6699,0.4162
14,1.68,2880.0,201939,21.9292,7.606,21.5551,6.317,22.2341,7.2399,22.1924,7.7972,1.3422,0.4764,0.3253,1.1516,0.6699,0.4162
15,1.8,2880.0,201939,21.8105,7.6258,21.7814,8.5257,21.896,8.2417,22.0418,7.9195,0.9004,0.6218,0.3738,1.1516,0.6699,0.4162
16,1.919,2880.0,201939,21.7005,7.654,21.6794,7.1715,21.8258,7.211,21.8652,7.5345,0.483,0.4604,0.2035,1.1516,0.6699,0.4162
17,2.04,2880.0,201939,21.5938,7.6828,21.2515,6.2984,21.2644,7.0137,21.4153,7.466,1.4261,0.7458,0.2809,1.1516,0.6699,0.4162
18,2.16,2880.0,201939,21.4874,7.7122,21.4597,9.393,21.8201,8.7011,21.7784,7.9256,1.681,1.0434,0.3608,1.1516,0.6699,0.4162
19,2.279,2880.0,201939,21.3789,7.733,21.052,8.0621,20.9724,8.1345,21.2661,8.0198,0.4639,0.5713,0.3082,1.1516,0.6699,0.4162
20,2.4,2880.0,201939,21.2708,7.7505,20.6246,5.9371,20.8721,6.8392,20.899,7.6855,1.9251,0.9947,0.3775,1.1516,0.6699,0.4162
21,2.52,2880.0,201939,21.1632,7.762,21.1785,8.4945,21.4271,8.3582,21.2851,8.0316,0.7327,0.652,0.2958,1.1516,0.6699,0.4162
22,2.639,2880.0,201939,21.0555,7.7733,21.1936,8.0724,20.9408,7.6842,21.0693,7.7068,0.3295,0.1452,0.0679,1.1516,0.6699,0.4162
23,2.76,2880.0,201939,20.9539,7.7931,20.7308,7.1987,21.1832,7.3907,21.1302,7.6078,0.6349,0.4632,0.2558,1.1516,0.6699,0.4162
24,2.88,2880.0,201939,20.862,7.8288,20.1653,7.62,20.3956,7.6191,20.6586,7.5739,0.7273,0.5113,0.3261,1.1516,0.6699,0.4162
25,2.999,2880.0,201939,20.7769,7.8815,20.6644,8.9213,20.7456,8.4271,20.7902,7.8834,1.0458,0.5465,0.0134,1.1516,0.6699,0.4162
26,3.12,2879.95,201939,20.6936,7.9519,20.3911,8.4595,20.7083,8.3433,20.7711,8.1178,0.5909,0.3917,0.1831,1.1516,0.6699,0.4162
27,3.24,2879.83,201939,20.6177,8.0389,20.9244,8.9507,20.7838,8.613,20.8169,8.2834,0.962,0.5976,0.3154,1.1516,0.6699,0.4162
28,3.359,2879.71,201939,20.5377,8.1261,20.4154,8.4738,20.4932,8.3703,20.617,8.2804,0.3686,0.2482,0.1735,1.1516,0.6699,0.4162
