Sample_idx,timestamp_ms,adjusted_game_time,player_id,realX,realY,linEstX,linEstY,hypEstX,hypEstY,filtEstX,filtEstY,linErr,hypErr,filtErr,linRMSE,hypRMSE,filtRMSE
0,0.0,2880.0,201939,23.1208,7.5932,23.3102,7.62,23.1456,7.6008,23.1665,7.5846,0.1913,0.026,0.0465,0.2175,0.1255,0.2801
1,0.119,2880.0,201939,23.0765,7.5943,23.1777,7.62,23.0596,7.5593,23.1066,7.5393,0.1045,0.0388,0.0627,0.2175,0.1255,0.2801
2,0.24,2880.0,201939,23.0287,7.5971,23.063,7.62,22.9552,7.6069,23.018,7.5658,0.0412,0.0742,0.0331,0.2175,0.1255,0.2801
3,0.36,2880.0,201939,22.9802,7.5983,22.8938,7.62,22.9798,7.5748,22.9949,7.5605,0.0891,0.0236,0.0406,0.2175,0.1255,0.2801
4,0.479,2880.0,201939,22.9259,7.6022,22.7401,7.62,22.9788,7.6505,22.9849,7.6139,0.1867,0.0717,0.0602,0.2175,0.1255,0.2801
5,0.6,2880.0,201939,22.8665,7.614,22.8228,7.62,22.766,7.6129,22.8487,7.6009,0.0441,0.1005,0.0221,0.2175,0.1255,0.2801
6,0.72,2880.0,201939,22.8049,7.6317,22.8228,7.62,22.766,7.6129,22.7986,7.6017,0.0214,0.0433,0.0306,0.2175,0.1255,0.2801
7,0.839,2880.0,201939,22.7305,7.6414,22.8228,7.62,22.766,7.6129,22.78,7.6047,0.0947,0.0455,0.0616,0.2175,0.1255,0.2801
8,0.96,2880.0,201939,22.639,7.6392,22.8228,7.62,22.766,7.6129,22.7729,7.607,0.1848,0.1297,0.1377,0.2175,0.1255,0.2801
9,1.08,2880.0,201939,22.5371,7.6282,22.3587,7.62,22.3908,7.6244,22.5314,7.5975,0.1785,0.1463,0.0312,0.2175,0.1255,0.2801
10,1.199,2880.0,201939,22.4244,7.6118,22.3587,7.62,22.3908,7.6244,22.443,7.6057,0.0662,0.0358,0.0196,0.2175,0.1255,0.2801
11,1.32,2880.0,201939,22.299,7.594,22.3587,7.62,22.3908,7.6244,22.4103,7.6141,0.0652,0.0967,0.1131,0.2175,0.1255,0.2801
12,1.44,2880.0,201939,22.1726,7.5857,22.2673,7.62,22.2054,7.5573,22.281,7.5579,0.1007,0.0434,0.1119,0.2175,0.1255,0.2801
13,1.559,2880.0,201939,22.0495,7.5903,21.915,7.62,22.0198,7.6354,22.117,7.5901,0.1377,0.054,0.0675,0.2175,0.1255,0.2801
14,1.68,2880.0,201939,21.9292,7.606,21.9396,7.62,21.8152,7.6019,21.9267,7.5754,0.0174,0.1141,0.0307,0.2175,0.1255,0.2801
15,1.8,2880.0,201939,21.8105,7.6258,21.9396,7.62,21.8152,7.6019,21.8588,7.5787,0.1292,0.0243,0.0675,0.2175,0.1255,0.2801
16,1.919,2880.0,201939,21.7005,7.654,21.6997,7.62,21.8357,7.6407,21.846,7.6172,0.034,0.1359,0.1501,0.2175,0.1255,0.2801
17,2.04,2880.0,201939,21.5938,7.6828,21.4885,7.62,21.4524,7.6144,21.5931,7.5925,0.1226,0.1571,0.0903,0.2175,0.1255,0.2801
18,2.16,2880.0,201939,21.4874,7.7122,21.4885,7.62,21.4524,7.6144,21.504,7.5949,0.0922,0.1039,0.1185,0.2175,0.1255,0.2801
19,2.279,2880.0,201939,21.3789,7.733,21.3809,7.62,21.4502,7.6817,21.4709,7.6597,0.113,0.0878,0.1177,0.2175,0.1255,0.2801
20,2.4,2880.0,201939,21.2708,7.7505,21.2698,8.0642,21.3003,7.9493,21.3827,7.77,0.3137,0.201,0.1136,0.2175,0.1255,0.2801
21,2.52,2880.0,201939,21.1632,7.762,21.2559,7.62,21.1476,7.7051,21.2234,7.7486,0.1696,0.059,0.0617,0.2175,0.1255,0.2801
22,2.639,2880.0,201939,21.0555,7.7733,21.0553,7.62,21.0925,7.6263,21.1318,7.6775,0.1533,0.1516,0.1225,0.2175,0.1255,0.2801
23,2.76,2880.0,201939,20.9539,7.7931,20.8449,8.0544,20.9411,7.9564,21.0297,7.7877,0.2832,0.1638,0.076,0.2175,0.1255,0.2801
24,2.88,2880.0,201939,20.862,7.8288,20.8213,7.62,20.7913,7.7174,20.8659,7.7667,0.2127,0.132,0.0622,0.2175,0.1255,0.2801
25,2.999,2880.0,201939,20.7769,7.8815,20.8213,7.62,20.7913,7.7174,20.8096,7.766,0.2652,0.1648,0.12,0.2175,0.1255,0.2801
26,3.12,2879.95,201939,20.6936,7.9519,20.6167,8.0517,20.6411,8.0461,20.7164,7.9066,0.126,0.1079,0.0507,0.2175,0.1255,0.2801
27,3.24,2879.83,201939,20.6177,8.0389,20.6167,8.0517,20.6411,8.0461,20.6761,7.9759,0.0128,0.0245,0.0859,0.2175,0.1255,0.2801
28,3.359,2879.71,201939,20.5377,8.1261,20.6167,8.0517,20.6411,8.0461,20.6582,8.0098,0.1085,0.1307,0.1675,0.2175,0.1255,0.2801
29,3.479,2879.59,201939,20.4552,8.2096,20.4154,8.4738,20.4932,8.3703,20.5767,8.164,0.2672,0.1651,0.1298,0.2175,0.1255,0.2801
30,3.6,2879.47,201939,20.3695,8.2879,20.3667,8.0482,20.3401,8.1376,20.4184,8.1608,0.2397,0.1531,0.1362,0.2175,0.1255,0.2801
31,3.719,2879.35,201939,20.2748,8.3491,20.2925,8.4733,20.2966,8.4051,20.3538,8.2694,0.1254,0.0601,0.1122,0.2175,0.1255,0.2801
32,3.839,2879.23,201939,20.172,8.3909,20.1695,8.4673,20.1928,8.4607,20.262,8.3583,0.0765,0.0729,0.0957,0.2175,0.1255,0.2801
33,3.96,2879.11,201939,20.0726,8.425,20.0847,8.4635,20.1208,8.406,20.174,8.3635,0.0404,0.0518,0.1186,0.2175,0.1255,0.2801
34,4.079,2878.99,201939,19.9721,8.4509,19.9558,8.4627,19.925,8.4404,20.0119,8.3946,0.0202,0.0482,0.0689,0.2175,0.1255,0.2801
35,4.2,2878.87,201939,19.8637,8.4958,19.8321,8.4566,19.8219,8.4974,19.8914,8.4528,0.0504,0.0418,0.0512,0.2175,0.1255,0.2801
36,4.32,2878.75,201939,19.7719,8.5414,19.8321,8.4566,19.8219,8.4974,19.8466,8.4857,0.104,0.0667,0.0932,0.2175,0.1255,0.2801
37,4.439,2878.63,201939,19.6902,8.5818,19.8185,8.8802,19.7815,8.7021,19.821,8.5436,0.3249,0.151,0.1362,0.2175,0.1255,0.2801
38,4.559,2878.51,201939,19.6095,8.6026,19.5579,8.4482,19.5219,8.5905,19.6236,8.5887,0.1628,0.0884,0.0198,0.2175,0.1255,0.2801
39,4.679,2878.39,201939,19.4786,8.5411,19.425,8.4371,19.474,8.4992,19.5205,8.5524,0.117,0.0422,0.0434,0.2175,0.1255,0.2801
40,4.8,2878.26,201939,19.4,8.4446,19.425,8.4371,19.474,8.4992,19.4874,8.5419,0.0261,0.092,0.1308,0.2175,0.1255,0.2801
41,4.92,2878.14,201939,19.3514,8.3308,19.2656,8.0266,19.2767,8.1365,19.3244,8.3296,0.3161,0.2081,0.027,0.2175,0.1255,0.2801
42,5.041,2878.02,201939,19.3409,8.2033,19.3888,8.0298,19.3793,8.0767,19.3425,8.2113,0.18,0.1323,0.0081,0.2175,0.1255,0.2801
43,5.16,2877.9,201939,19.3854,8.1218,19.3888,8.0298,19.3793,8.0767,19.3554,8.1572,0.0921,0.0455,0.0464,0.2175,0.1255,0.2801
44,5.28,2877.78,201939,19.4557,8.0727,19.3888,8.0298,19.3793,8.0767,19.3629,8.1322,0.0795,0.0765,0.1102,0.2175,0.1255,0.2801
45,5.401,2877.66,201939,19.5993,7.8961,19.635,8.0332,19.6725,7.9829,19.5604,8.0617,0.1417,0.1135,0.1701,0.2175,0.1255,0.2801
46,5.52,2877.54,201939,19.8179,7.6985,19.8349,7.62,19.8208,7.6641,19.7036,7.8813,0.0803,0.0345,0.2156,0.2175,0.1255,0.2801
47,5.64,2877.42,201939,20.0921,7.5381,20.176,7.62,20.1892,7.6226,20.0069,7.7694,0.1172,0.1287,0.2464,0.2175,0.1255,0.2801
48,5.761,2877.3,201939,20.3982,7.3835,20.3847,7.1915,20.3411,7.2954,20.1901,7.5638,0.1925,0.105,0.2754,0.2175,0.1255,0.2801
49,5.88,2877.18,201939,20.8091,7.3298,20.8212,7.62,20.8377,7.518,20.6148,7.5438,0.2905,0.1904,0.2891,0.2175,0.1255,0.2801
50,6.0,2877.06,201939,21.1949,7.4472,21.2561,7.62,21.1946,7.5051,20.9935,7.5186,0.1833,0.058,0.2137,0.2175,0.1255,0.2801
51,6.12,2876.94,201939,21.5491,7.6544,21.4885,7.62,21.4524,7.6144,21.2936,7.5929,0.0697,0.1046,0.2628,0.2175,0.1255,0.2801
52,6.24,2876.82,201939,21.7188,7.6335,21.6997,7.62,21.8357,7.6407,21.6416,7.6535,0.0234,0.1172,0.0797,0.2175,0.1255,0.2801
53,6.36,2876.7,201939,21.8222,7.3519,21.7854,7.62,21.8558,7.4742,21.7804,7.5193,0.2706,0.1268,0.1725,0.2175,0.1255,0.2801
