Sample_idx,timestamp_ms,adjusted_game_time,player_id,realX,realY,linEstX,linEstY,hypEstX,hypEstY,filtEstX,filtEstY,linErr,hypErr,filtErr,linRMSE,hypRMSE,filtRMSE
0,0.0,2880.0,201939,23.1208,7.5932,23.7888,8.6355,22.9675,8.1266,23.1063,7.6643,1.238,0.555,0.0725,1.1241,0.6316,0.3619
1,0.119,2880.0,201939,23.0765,7.5943,22.4581,7.1636,22.9646,7.35,22.9871,7.5477,0.7536,0.2687,0.1008,1.1241,0.6316,0.3619
2,0.24,2880.0,201939,23.0287,7.5971,22.7816,5.7281,22.6437,6.675,22.7149,7.3965,1.8853,0.9993,0.3724,1.1241,0.6316,0.3619
3,0.36,2880.0,201939,22.9802,7.5983,22.8221,8.0942,22.798,7.9578,22.8032,7.6555,0.5205,0.403,0.186,1.1241,0.6316,0.3619
4,0.479,2880.0,201939,22.9259,7.6022,22.5704,9.0135,22.9124,8.5179,22.9373,7.9384,1.4554,0.9158,0.3363,1.1241,0.6316,0.3619
5,0.6,2880.0,201939,22.8665,7.614,22.4922,7.1583,22.7543,7.2971,22.7807,7.66,0.5897,0.3362,0.0973,1.1241,0.6316,0.3619
6,0.72,2880.0,201939,22.8049,7.6317,22.6213,7.62,22.7779,7.5634,22.7801,7.6241,0.184,0.0735,0.026,1.1241,0.6316,0.3619
7,0.839,2880.0,201939,22.7305,7.6414,22.1177,8.0681,22.8724,7.7507,22.8815,7.5601,0.7467,0.1791,0.1715,1.1241,0.6316,0.3619
8,0.96,2880.0,201939,22.639,7.6392,23.0309,8.5868,22.8351,8.0378,22.9167,7.6759,1.0254,0.4442,0.2802,1.1241,0.6316,0.3619
9,1.08,2880.0,201939,22.5371,7.6282,21.8534,9.4084,22.7717,8.1909,22.979,7.5481,1.907,0.6097,0.4491,1.1241,0.6316,0.3619
10,1.199,2880.0,201939,22.4244,7.6118,21.7704,7.1674,21.7607,7.4338,22.179,7.5175,0.7907,0.6871,0.2628,1.1241,0.6316,0.3619
11,1.32,2880.0,201939,22.299,7.594,21.6561,5.8601,22.0437,6.6106,21.9923,7.3061,1.8492,1.016,0.4207,1.1241,0.6316,0.3619
12,1.44,2880.0,201939,22.1726,7.5857,22.0655,7.62,22.3197,7.3933,22.2446,7.2765,0.1124,0.2422,0.3174,1.1241,0.6316,0.3619
13,1.559,2880.0,201939,22.0495,7.5903,21.3414,5.9182,22.0998,6.8351,22.0921,7.3781,1.8159,0.7568,0.2164,1.1241,0.6316,0.3619
14,1.68,2880.0,201939,21.9292,7.606,21.8822,7.1623,21.7351,7.4648,21.8559,7.5067,0.4462,0.24,0.1234,1.1241,0.6316,0.3619
15,1.8,2880.0,201939,21.8105,7.6258,21.8871,6.2356,21.5077,6.9113,21.5873,7.3799,1.3923,0.776,0.3321,1.1241,0.6316,0.3619
16,1.919,2880.0,201939,21.7005,7.654,21.5784,6.7282,21.6825,7.0261,21.6079,7.2959,0.9339,0.6281,0.3699,1.1241,0.6316,0.3619
17,2.04,2880.0,201939,21.5938,7.6828,21.3404,7.62,21.2386,7.6476,21.3984,7.476,0.2611,0.3569,0.2845,1.1241,0.6316,0.3619
18,2.16,2880.0,201939,21.4874,7.7122,20.8279,8.0394,21.5456,7.9097,21.5514,7.6845,0.7362,0.2059,0.0697,1.1241,0.6316,0.3619
19,2.279,2880.0,201939,21.3789,7.733,21.2517,8.4879,21.7467,8.2369,21.7249,7.9105,0.7656,0.6238,0.3889,1.1241,0.6316,0.3619
20,2.4,2880.0,201939,21.2708,7.7505,20.8518,7.1968,21.3167,7.5742,21.4341,7.8428,0.6944,0.1822,0.1876,1.1241,0.6316,0.3619
21,2.52,2880.0,201939,21.1632,7.762,21.1154,8.4855,21.5807,8.0774,21.5755,7.8421,0.725,0.5232,0.42,1.1241,0.6316,0.3619
22,2.639,2880.0,201939,21.0555,7.7733,20.5767,9.7471,21.2253,8.488,21.4912,7.7685,2.0311,0.7346,0.4358,1.1241,0.6316,0.3619
23,2.76,2880.0,201939,20.9539,7.7931,20.6294,8.0391,21.1153,8.1736,21.276,8.0241,0.4072,0.4133,0.3964,1.1241,0.6316,0.3619
24,2.88,2880.0,201939,20.862,7.8288,20.9718,5.8594,20.7965,6.5558,20.8481,7.4281,1.9725,1.2747,0.4009,1.1241,0.6316,0.3619
25,2.999,2880.0,201939,20.7769,7.8815,20.7556,8.4952,20.809,7.9762,20.8889,7.5724,0.6141,0.0999,0.3288,1.1241,0.6316,0.3619
26,3.12,2879.95,201939,20.6936,7.9519,20.5623,7.1876,20.5102,7.275,20.6215,7.4334,0.7755,0.7013,0.5235,1.1241,0.6316,0.3619
27,3.24,2879.83,201939,20.6177,8.0389,20.7738,7.1778,20.451,7.692,20.5084,7.7309,0.8751,0.3848,0.3269,1.1241,0.6316,0.3619
28,3.359,2879.71,201939,20.5377,8.1261,20.901,8.0672,20.5582,8.1305,20.5624,8.0012,0.368,0.021,0.1273,1.1241,0.6316,0.3619
29,3.479,2879.59,201939,20.4552,8.2096,20.7114,7.1901,20.803,7.6072,20.6848,7.9279,1.0512,0.6956,0.3634,1.1241,0.6316,0.3619
30,3.6,2879.47,201939,20.3695,8.2879,20.5069,7.62,20.9063,7.7665,20.8248,7.9494,0.6819,0.7484,0.5673,1.1241,0.6316,0.3619
31,3.719,2879.35,201939,20.2748,8.3491,20.3158,8.0499,20.1866,8.3184,20.4197,8.2021,0.302,0.0934,0.2064,1.1241,0.6316,0.3619
32,3.839,2879.23,201939,20.172,8.3909,20.5215,8.493,20.3176,8.5646,20.3618,8.4593,0.3641,0.2266,0.2017,1.1241,0.6316,0.3619
33,3.96,2879.11,201939,20.0726,8.425,19.9501,8.4791,19.7787,8.0721,19.969,8.1128,0.1339,0.4592,0.329,1.1241,0.6316,0.3619
34,4.079,2878.99,201939,19.9721,8.4509,19.7927,8.8639,19.9025,8.6647,19.9637,8.3671,0.4503,0.2249,0.0843,1.1241,0.6316,0.3619
35,4.2,2878.87,201939,19.8637,8.4958,19.5127,8.8577,19.5359,8.6425,19.7033,8.4399,0.5042,0.3592,0.1699,1.1241,0.6316,0.3619
36,4.32,2878.75,201939,19.7719,8.5414,20.1987,8.0578,19.7881,8.2766,19.7389,8.4112,0.6451,0.2653,0.1343,1.1241,0.6316,0.3619
37,4.439,2878.63,201939,19.6902,8.5818,19.2615,8.8453,19.2705,8.9119,19.4698,8.6416,0.5032,0.534,0.2283,1.1241,0.6316,0.3619
38,4.559,2878.51,201939,19.6095,8.6026,19.7295,9.2485,20.0218,9.1025,19.8691,8.913,0.657,0.648,0.4046,1.1241,0.6316,0.3619
39,4.679,2878.39,201939,19.4786,8.5411,19.5368,7.2062,19.4753,7.6901,19.5466,8.3111,1.3362,0.851,0.2398,1.1241,0.6316,0.3619
40,4.8,2878.26,201939,19.4,8.4446,19.5088,8.0267,19.6134,8.2884,19.5794,8.4212,0.4319,0.2644,0.1809,1.1241,0.6316,0.3619
41,4.92,2878.14,201939,19.3514,8.3308,19.4935,8.4603,19.2926,8.3423,19.3785,8.3369,0.1923,0.0599,0.0278,1.1241,0.6316,0.3619
42,5.041,2878.02,201939,19.3409,8.2033,19.4139,10.0578,19.7074,9.0319,19.7205,8.3789,1.8559,0.906,0.4182,1.1241,0.6316,0.3619
43,5.16,2877.9,201939,19.3854,8.1218,19.3875,8.0296,19.4062,7.9604,19.4863,8.1389,0.0922,0.1627,0.1023,1.1241,0.6316,0.3619
44,5.28,2877.78,201939,19.4557,8.0727,19.7609,7.1819,19.1705,7.3366,19.2036,7.7265,0.9416,0.7894,0.4282,1.1241,0.6316,0.3619
45,5.401,2877.66,201939,19.5993,7.8961,19.2299,6.4189,19.3024,7.2689,19.2055,7.7225,1.5227,0.6939,0.4303,1.1241,0.6316,0.3619
46,5.52,2877.54,201939,19.8179,7.6985,19.8292,6.333,19.395,6.8363,19.2275,7.4171,1.3656,0.9604,0.654,1.1241,0.6316,0.3619
47,5.64,2877.42,201939,20.0921,7.5381,20.1765,7.62,20.2088,7.5305,19.8876,7.491,0.1176,0.1169,0.2098,1.1241,0.6316,0.3619
48,5.761,2877.3,201939,20.3982,7.3835,20.3641,8.4594,20.7635,7.9984,20.5302,7.6719,1.0765,0.7152,0.3172,1.1241,0.6316,0.3619
49,5.88,2877.18,201939,20.8091,7.3298,19.574,4.5583,20.3817,5.7666,20.2561,7.1129,3.0342,1.6206,0.594,1.1241,0.6316,0.3619
50,6.0,2877.06,201939,21.1949,7.4472,20.9302,5.5016,21.3209,6.2413,20.8454,6.9582,1.9635,1.2125,0.6011,1.1241,0.6316,0.3619
51,6.12,2876.94,201939,21.5491,7.6544,22.0919,9.4651,22.2748,8.5128,21.893,7.5658,1.8903,1.1241,0.3551,1.1241,0.6316,0.3619
52,6.24,2876.82,201939,21.7188,7.6335,21.1649,8.0648,21.2225,7.6612,21.5097,7.4509,0.702,0.4971,0.2776,1.1241,0.6316,0.3619
53,6.36,2876.7,201939,21.8222,7.3519,21.8433,7.62,21.448,7.3987,21.4852,7.3577,0.2689,0.3771,0.337,1.1241,0.6316,0.3619
54,6.48,2876.57,201939,21.8708,6.8681,21.265,7.187,21.7858,7.0827,21.6884,7.1873,0.6846,0.2308,0.3676,1.1241,0.6316,0.3619
55,6.6,2876.45,201939,21.7276,6.2596,21.4277,6.7343,21.6526,6.6915,21.652,6.9015,0.5615,0.4383,0.6463,1.1241,0.6316,0.3619
56,6.72,2876.33,201939,21.4611,5.4979,20.9054,6.3366,21.4532,6.1585,21.5459,6.4278,1.0061,0.6606,0.9337,1.1241,0.6316,0.3619
